,title,content,write_date,url,writer,category
0,"kb국민은행, 글로벌 인재양성 'kb스타비(飛) 영어캠프' 개최",". kb국민은행은 지역아동센터중앙지원단과 함께 지난 14일부터 4박5일 일정으로 서울영어마을 수유캠프에서 전국 지역아동센터 청소년 400여명이 참여하는 'kb스타비(飛) 영어캠프'를 개최한다고 밝혔다.. . 올해 2년차를 맞은 'kb스타비(飛) 영어캠프'는 여름 방학을 맞아 지역아동센터 청소년들의 영어학습 성취도 향상과 진로의식 함양을 도모하는 체험형 영어캠프다. . . 특히 이번 캠프는 실질적인 영어 학습능력 향상을 위해 온·오프라인 강의를 추가했다. 2주간의 사전 (이름) 강좌를 통해 영어와 좀 더 친숙해지고 체험 중심의 캠프진행으로 영어학습의 흥미를 높였으며 캠프 종료 후에는 5개월간의 사후 (이름) 영어학습 프로그램도 제공한다.. . 또한 우수학생 100명을 선발해 올 연말까지 주 2회 선생님이 직접 찾아가는 방문영어 교육과 외국인 화상영어 등의 심화과정을 진행하고 겨울 영어캠프도 추가 지원할 예정이다.. . 또 은행, 호텔, 도서관, 영화관 등 실제처럼 꾸며진 다양한 테마로 구성된 공간에서 상황별 체험영어 학습이 진행됐고 영어뮤지컬 관람, 할로윈 파티 등 다양한 문화체험과 함께 야외 수영장에서 신나는 물놀이도 즐기며 자연스럽게 영어를 습득할 수 있는 시간을 마련했다.. . kb국민은행 관계자는 “이번 영어캠프를 통해 영어에 대한 거부감을 줄여주고 단계적인 영어학습지원을 통한 학업 성취도를 향상으로 캠프에 참여한 청소년들이 영어에 대한 자신감을 갖게 하는 것이 목적이다”고 말했다..",2017-08-16 09:13:10,https://moneys.mt.co.kr/news/mwView.php?no=2017081608508053382,머니S,경제
1,정통 공포에 목말랐다면..'더 보이2' 관전포인트 '넷',". . '더 보이2: 돌아온 브람스'가 절대 놓쳐서는 안 될 관람 포인트 베스트4를 공개했다. . . 5일 '더 보이2 : 돌아온 브람스'가 개봉했다. 이날 개봉을 기념, 놓치지 말아야 할 관람 포인트를 짚어본다.. . 관람 포인트 1..2020년 첫 전통 공포. . '더 보이 2: 돌아온 브람스'의 절대 관람 포인트 중 하나는 바로 (이름)널팀의 재합류에 있다. 영화는 첫 번째 시리즈 흥행의 주역 윌리엄 브렌트 벨 감독과 각본가 스테이시 메니어 그리고 전 세계에 센세이션을 일으킨 '그것' 제작진의 의기투합으로 탄생돼 신뢰를 더한다. 이들이 뭉친 '더 보이 2: 돌아온 브람스'는 2배 더 소름 돋는 공포로 탄생돼 전편의 팬들과 1020 관객 모두의 기대감을 불러일으키고 있다. '더 보이2: 돌아온 브람스'가 더욱 주목받는 이유는 바로 2020년의 포문을 여는 첫 번째 '정통 공포' 영화이기 때문. 같은 공포 영화의 분류 내에 있다고는 해도 최근 스릴러 위주의 영화들이 개봉돼 왔던 가운데, '더 보이2: 돌아온 브람스'는 정통 공포에 목말랐던 영화팬들의 갈증을 말끔히 해결하며 소름 끼치는 극강의 공포를 선사할 것으로 보인다.. . 관람 포인트 2...살아있는 인형 브람스, 섬뜩 . '더 보이 2: 돌아온 브람스'는 2016년 1020 관객들을 열광시키며 전 세계 박스오피스를 강타, 제작비 6배가 넘는 수익과 함께 세상에서 가장 잘생긴 인형 브람스 신드롬을 일으킨 '더 보이'의 속편이다. 외딴 마을의 대저택에 유모로 들어간 그레타와 살아있는 인형 브람스의 섬뜩한 이야기를 그렸던 전편에 이어, 이번 편에서는 숲 속에 묻혀 있던 브람스와 그를 발견한 소년 쥬드에게 벌어지는 이야기를 그린다. 보는 이들을 소름 끼치게 만드는 비주얼 대신 순수한 어린 소년의 얼굴과 하얗다 못해 창백한 피부, 단정하게 정돈된 머리, 셔츠와 넥타이, 니트 조끼에 정장 재킷까지, 젠틀해 보이는 모습이 인상적인 브람스는 마치 어린 영국 신사를 연상케 한다. 하지만 이처럼 전혀 위험해 보이지 않던 브람스는 순식간에 가장 무서운 존재가 되어 모두를 위협한다. 브람스는 친구가 되는 대상을 정신적으로 지배하고 (이름)며 주변 이들로 하여금 더욱 큰 공포를 경험하게 한다. 이 밖에도 눈 앞의 대상에게 시각적으로 끔찍한 장면을 보이게 하며 극강의 충격을 전한다거나, 직접 움직이는 모습이 보이지 않음에도 '살아있는 인형'으로 느끼게 만드는 여러 요소들은 관객들의 공포를 배가시킬 것이다.. . 관람 포인트 3...잊지 말아야 할 10가지 '절대 규칙'. 혼자 두지 말기, 손님 출입 금지하기, 그리고… “영원히 친구하기”. 살고 싶다면 잊지 말아야 할 10가지 ‘절대 규칙’의 공포!. . 관객들에게 색다른 재미와 공포를 선사하는 '더 보이 2: 돌아온 브람스'만의 특별한 요소는 바로 '인형이 정한 규칙'에 있다. 새로운 친구 쥬드가 브람스와 친구가 되기 위해서는 반드시 지켜야 할 필수 (이름) 있다. 바로 브람스가 직접 정한 규칙들을 어겨선 안 되는 것. 이른 바 절대 규칙인 셈이다. 이러한 규칙 리스트는 쥬드가 숲 속에 묻혀 있던 ‘브람스’를 발견할 당시 그의 옷 속에 함께 들어 있던 것으로, 규칙의 내용은 전편과 조금 다르며 새로운 규칙 또한 추가되었다. 낯가림과 외로움이 심한 브람스는 새로운 친구에게 '손님 출입 금지하기'와 '혼자 두지 말기'라는 규칙을 제시했다. 또 앞이 깜깜할 시 무서울 것을 우려한 브람스는 '절대 얼굴 가리지 않기'라는 규칙도 넣어 두었다. 또한 '매일 새로운 옷 입혀주기', '꼭 가족과 함께 식사하기', '매일 밖에서 놀아주기', '깨끗하게 씻어주기', '잠들기 전 대화하기', '굿나잇 키스하기'처럼 마치 어린 아이가 이야기하는 듯한 귀여운 규칙들을 제시했다. 규칙 리스트에는 마지막으로 새롭게 추가된 규칙 '영원히 친구하기'까지, 반드시 지켜야 할 10가지 항목들이 나열되어 있다. 다소 귀여워 보이기까지 하는 이러한 규칙들은 방심하는 순간, 모두를 혼란과 공포에 빠뜨릴 일련의 사건들로 반드시 되돌아온다.. . 관람 포인트 4...케이티 홈즈x크리스토퍼 컨버리의 열연 . . 관람 포인트 중 중요한 요소는 바로 배우들의 섬세한 열연에 있다. 대본을 읽고 단 하루 만에 출연을 확정할 만큼 이번 작품에 푹 빠져버린 케이티 홈즈는 의문의 사건들로부터 아들 쥬드를 지키려는 강인한 엄마 라이자 역을 맡았다. 케이티 홈즈는 브람스와 쥬드가 친구가 된 이후 벌어지는 소름 끼치는 일들로 인해 점점 극도로 예민해져 신경을 곤두세우게 되는 라이자의 변화를 미친 열연으로 소화해 냈다. 또 눈에 띄는 이는 바로 쥬드 역의 크리스토퍼 컨버리다. 브람스의 새로운 친구 쥬드 역을 찾기 위해 무려 수천 명이 참가한 대규모 오디션에서 감독과 제작진을 단번에 홀려버린 크리스토퍼 컨버리는 브람스와 만난 이후 순간순간 보여지는 묘한 표정과 눈빛을 통한 섬세한 연기로 브람스의 장악력을 보여주며 섬 함과 오싹함을 배가시킨다. 케이티 홈즈와 크리스토퍼 컨버리, 이들의 열연은 작품의 완성도를 높이며 관객들을 한층 더 몰입하게 만들 것이다..",2020-03-05 08:35:45,https://star.mt.co.kr/stview.php?no=2020030508190054337,스타뉴스,연예
2,“뭍으로 올리자”…세월호 육상 거치과정은?,"세월호, 육상거치 작업 2~4일 소요 목포신항 철재부두 3만3000㎡규모…공간 넓은편 이철조 인양추진단장 '3월말까지 시설준비 마칠 것'【서울=뉴시스】(이름) 기자 = 세월호가 지난 25일 해수면 위로 완전 부양하면서 인양의 ‘마지막 고비’인 육상 거치 작업만 남았다. 이에 따라 세월호를 목포로 이동시킨 후 다시 육지로 내려놓는 과정이 어떻게 진행될지 관심이 모아지고 있다. 세월호를 실은 반잠수식 선박은 침몰 사고가 발생한 진도 인근 해상에서 87km 정도 떨어진 목포신항으로 옮겨진다. 세월호를 거치할 곳은 신항만 내에서도 지반이 가장 견고한 철재부두 부지다. 먼저 세월호가 목포신항에 도착하면 해수를 유입하고 빼내는 방식으로 반잠수식 선박과 부두 바닥 간의 높낮이를 조정한 뒤 선체를 부두 위로 옮기게 된다. 이 때 세월호는 반잠수식 선박 바닥 위에 설치된 3줄의 거치대 위에 올려져 있는데, 바퀴가 달린 특수장비가 세월호 밑으로 들어가 들어올린다. 이 특수장비는 ‘멀티모듈(spmt)’이다. 멀티모듈 1개는 길이 8.5ｍ, 폭 2.45ｍ의 금속판 밑에 고무바퀴 24개가 장착돼 있는데, 1개당 최대 240t까지 지탱할 수 있다. 선체를 멀티모듈을 이용해 철재부두로 옮기고 나서 30m 떨어진 거치장소로 (이름)게 된다. 이 같은 거치 작업은 총 2~4일 걸릴 것으로 예상된다. 그러나 세월호를 뭍으로 내리는 과정은 반잠수식 선박에 올려놓는 것 만큼이나 고난도 작업이다. 향후 미수습자 수색 및 사고 경위 조사 등을 감안해 선체를 훼손시키지 않고 이동시켜야 하는데 선체 규모가 워낙 거대해 이 과정이 녹록치 않기 때문이다. 세월호 선체는 길이 145m, 폭 22ｍ 높이 24m로, 실제 무게는 용적톤수(6800t)에 내부 화물과 선체에 쌓인 퇴적물 등을 포함하면 1만~2만t으로 추정된다. 한편 세월호를 거치하게 될 목포신항 철재부두는 3만3000㎡ 규모로, 상대적으로 공간이 넓은 편이다. 또한 무게가 최대 2만t에 달할 것으로 추정되는 세월호가 놓여도 지반 침하는 없을 것으로 분석됐다. 세월호는 바다 쪽에서 봤을 때 신항 좌측 공간에 놓인다. 나머지 공간에는 40여 동의 사무실이 들어서는 데 세월호 업무를 총괄할 해양수산부 세월호 현장 수습본부를 비롯한 교육부, 법무부, 행정부 등 각 부처 업무공간으로 사용된다. 이 곳에서 장례지원과 미수습자 수습 및 신원 확인, 선체 조사, 선체 폐기물 처리 및 환경오염 관리, 현장 의료지원, 선체 정리 등 업무를 보게 된다. 해양수산부는 오는 7월 20일까지 4개월간 철재부두를 임차했다. 일반인 등 방문객을 위한 주차장은 철재 부두에서 700∼800m 떨어진 석탄 부두에 별도로 마련했다. 이철조 해양수산부 인양추진단장은 “목포신항에 지금 현장 준비를 하고 있다. 3월 말까지는 주요한 시설들이 어느 정도 갖춰질 수 있도록 할 것”이라며 “목포신항 부두에 (세월호가) 거치될 쯤에는 대부분 시설이 준비를 마치도록 하겠다”고 말했다. 앞서 해양수산부는 25일 “반잠수식 선박을 부양해 이날 오후 9시 15분께 세월호 선체 전체를 해수면위로 들어올렸다”고 밝혔다. 이에 따라 해수부는 세월호 선체에서 바닷물을 빼내면서 섞여 있는 잔존유를 걷어내는 작업에 들어갔다. 3~5일 가량 걸리는 이 작업이 끝나면 세월호는 이르면 28일 목포 앞바다에 도착할 것으로 보인다. dazzling@(이메일)<저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>",2017-03-26 07:00:10,https://newsis.com/view/?id=NISX20170326_0014788570,뉴시스,라이프스타일
3,"경남경찰청,올해 신임경찰 705명 배치…치안 공백 해소","= 올 들어 경남지역에 신임경찰 705명이 배치되면서 경찰 인력부족으로 인한 치안공백이 크게 해소되고 있는 것으로 나타났다. 20일 경남지방경찰청에 따르면 정부의 경찰인력 2만명 증원계획에 따라 올해 경남지역에 배치된 신임순경은 2월 185명을 비롯해 8월 255명, 9월 265명 등 모두 705명이다.이번 신임순경 보강으로 경찰서의 인력 부족현상이 어느 정도 해소되었을 뿐만 아니라 경찰서에 배치된 신임순경들이 다시 지구대 및 파출소에 발령받아 일선 치안현장 근무자인 지역경찰이 보다 젊어졌다.아울러 지역경찰 337명 증가와 함께 형사, 여성청소년수사팀 등 일선 치안현장 경찰인력도 증원됐다.경찰관 1인당 신고출동건수가 높았던 거제경찰서 (이름)구대의 경우 지난달 17일 신임순경 발령 전후 보름간 1인당 평균 출동건수가 발령 전 29.7건에서 발령 후 19.9건으로 크게 감소했다.발령난지 1년이 되지 않는 김해중부경찰서 연지지구대 (이름) 순경이 지난 6월 노상에서 술에 취해 식칼을 들고 주민을 위협하는 피의자를 3단봉으로 칼을 내려쳐 떨어뜨린 후 제압해 검거하는 등 신임순경들이 치안현장에서 맹활약을 펼치고 있다.백승엽 경남지방경찰청장은 “젊은 신임순경들을 일선 치안현장에 배치해 도민이 안전하게 생활할 수 있도록 국민중심 현장중심 치안활동을 전개하고, 도민에게 책임을 다하는 믿음직한 경찰이 되겠다”고 말했다.<저작권자 © 뉴스1코리아, 무단전재 및 재배포 금지>",2015-09-20 17:16:04,https://www.news1.kr/articles/?2431785,뉴스1,교육
4,"경남도, 새로운 거주방식 탐색 심포지엄…전문가들 머리 맞대","(경남=뉴스1) (이름) 기자 = ‘경상남도 신거주방식 탐색’ 심포지엄이 30일 오후 창원컨벤션센터에서 열렸다.최근 급속한 고령화 및 청년 주거복지 문제와 이에 따른 1인 가구 급증 등으로 생활방식이 달라지고 있고, 새로운 거주방식의 필요성도 커지고 있는 상황이다. 이에 경남도가 관련된 정책방향을 모색하고자 전문가들을 모아 논의하는 자리를 마련했다. 심포지엄은 30일과 31일 이틀에 걸쳐 진행된다. 첫날은 주제발표와 토론 및 분임토의가 진행되고, 둘째날에는 창원시 진해구에 있는 (이름)리더십 국제센터에서 공공건축현장 자문 참여사례 및 공공건축지원센터 설립과 역할을 주제로 한 토의가 이뤄진다.이날은 경남도 총괄건축가인 민현식 ‘㈜건축사사무소 기오헌’ 대표의 주제발표를 시작으로 (이름) 서울시립대 교수의 ‘새로운 거주형식의 탐색’ (이름) 강원대 교수와 (이름) 한국예술종합학교 교수의 ‘모여 사는 다양한 방식’ 신건수 경남대 교수의 ‘주거의 다양성과 잠재성 탐색, 경남의 거주문화 모색’ 등이 발표됐다.주제발표가 끝난 후에는 고성룡 경상대학교 명예교수가 좌장을 맡고 경남도 건축정책위원과 공공건축가 등 전문가 4명이 참여하는 종합토론도 진행됐다.(이름) 경남도지사는 이 자리에서 “오늘 행사는 공공건축가단, 경남도 건축정책위원회가 1년간의 활동을 돌아보고 경남 건축 방향을 논의하는 자리”라며 “공공건축가 제도를 지속가능한 모델로 만들어갈 수 있도록 도에서 지원하겠다“고 말했다.그러면서 “새로운 시대에 맞는 도시와 마을을 설계할 때 그 안에 공동체가 어떻게 만들어지는지에 대한 고민이 필요하다”며 “생활권, 경제권 단위의 맞춤형 주거와 건축 방식에 대해 폭넓게 논의해 줄 것”을 당부했다.한편 경남도는 이번 심포지엄에서 논의된 내용들을 향후 관련 분야 정책방향 설정을 위한 자료로 활용할 방침이다.<저작권자 © 뉴스1코리아, 무단전재 및 재배포 금지>",2020-10-30 17:46:41,https://www.news1.kr/articles/?4104279,뉴스1,교육
5,"(이름) '(이름) 선고유예 판결, 좌편향 종합선물세트'",". 5일 국회 법제사법위원회의 서울고법과 산하 지방법원에 대한 국정감사에서 여당 의원들은 허위사실을 공표한 혐의로 기소된 (이름) 서울시교육감(59)에게 선고유예 판결을 내린 서울고법의 판단에 대해 공세를 펼쳤다.. . (이름) 새누리당 의원은 이날 '조 교육감에게 선고유예 판결을 내린 것은 좌편향 판결의 종합선물세트 같다고 생각한다'며 '감히 올해 최악의 판결이라고 평가한다'고 날을 세웠다. 이어 '선거일이 8일 정도 남은 시점에서 조 교육감이 의혹을 제기했는데 상대 후보가 반론을 할 만한 시간이 충분했다고 판단한 것도 이해가 되지 않는다'고 지적했다.. . 같은 당 (이름) 의원은 '2심 재판부가 새로운 증거나 정당한 사유 없이 무죄 취지의 선고유예 판결을 내린 것이 과연 옳은 재판이었는가'라고 반문했다. 이어 '선거 질서를 가장 혼탁하게 하는 허위사실 공표죄에 의한 법원의 잘못된 판단을 꼭 바로잡아야만 공평하고 공정한 민주주의 선거문화가 정착될 수 있다고 믿는다'고 지적했다. . . 같은 당 (이름) 의원도 조 교육감의 2심 판결에 대해 '허위사실 공표죄에 대한 대법원 판례를 완전히 무력화하고 선고유예의 요건을 충족하지 못했는데도 악용했다'며 '사법 판결의 민주적 정당성을 증진하기 위해 도입된 국민참여재판의 의미까지 완전히 저버린 판결'이라고 강조했다.. . 이에 대해 (이름) 서울고법원장은 '해당 사건이 현재 대법원에 계류 중인 상(이름) 구체적인 양형의 적정성을 말하는 것은 부적절하다'고 해명했다.. . 한편 조 교육감은 선거를 앞둔 지난해 5월 상대 후보였던 (이름) 변호사가 미국 영주권자라는 의혹을 제기한 혐의로 기소됐다. 고 변호사는 과거 미국에 거주했지만 임시 취업비자 등을 사용했을 뿐 영주권을 받지 않은 것으로 드러났다.. . 국민참여재판으로 진행된 1심은 배심원들의 만장일치 판단과 마찬가지로 조 교육감의 혐의를 유죄로 인정, 당선무효형인 벌금 500만원을 선고했다. 그러나 2심 재판부는 조 교육감의 행동이 선거 결과에 영향을 미쳤다고 보기 어렵다는 등의 (이름) 형의 선고를 유예했다..",2015-10-05 15:27:53,https://news.mt.co.kr/mtview.php?no=2015100515245134128,머니투데이뉴스,사건사고
6,"올림푸스한국, p&i 2018에서 '엉뚱한 사진관' 지원","올림푸스한국이 오는 19일부터 22일까지 서울 삼성동 코엑스 a홀에서 열리는 국제사진영상전(p&i 2018) 부대행사인 '엉뚱한 사진관'을 지원한다고 밝혔다.. . 이 행사는 2015년부터 올림푸스한국이 서울문화재단 서교예술실험센터와 함께 예술가들의 사진 창작 활동을 지원하기 위해 시작한 예술 후원 프로젝트다.. . 올해 진행되는 프로젝트는 ‘3×4cm : 우리들의 초상’이다. 앞모습이 아닌 뒷모습으로 증명사진을 찍고, 나만의 개성과 매력을 소개하는 ‘엉뚱한 이력서’로 자신의 가치를 발견할 수 있는 내용이다.. . 이 프로젝트는 2015년 당시 450여 명이 참여하며 청년 취업난 문제에 대한 사회적 관심을 불러 일으켰다. 올림푸스한국은 om-d e-m1 마크ⅱ와 렌즈, 사진 인화기 등을 지원한다.. . '엉뚱한 사진관'은 코엑스 a홀 a11 구역에서 진행되며 출력된 뒷모습 증명사진을 관람객에게 증정한다. 참가 비용은 무료다.. .",2018-04-17 09:29:32,https://zdnet.co.kr/view/?no=20180417092706,지디넷,IT_과학
7,"ibk기업은행, 우수 스타트업 투자설명회 개최",. ibk기업은행은 크라우드펀딩 중개기업 크라우디와 함께 오는 24일 서울 중구 ibk파이낸스타워에서 우수 스타트업을 소개하는 투자설명회를 개최한다고 16일 밝혔다. . . 이번 설명회에는 크라우디에서 선별한 ▲크래프트 맥주회사 ‘제주맥주’ ▲대학생 공동구매 플랫폼 ‘타운컴퍼니’ ▲유아 방문수업 서비스 ‘아이랑놀기짱’ ▲스포츠 화장품 ‘스포메틱스’ ▲실시간 실손보험 청구시스템 ‘지앤넷’ 등의 기업들이 참석한다.. . 참가비는 없으며 참여를 원하는 예비투자자들은 온오프믹스 홈페이지에서 오는 24일까지 참가 신청을 하면 된다. . . ibk기업은행 관계자는 '우수 스타트업 설명회를 통해 실제 크라우드펀딩 성공으로 이어지는 사례가 많다'며 '앞으로도 크라우드펀딩을 통한 창업기업의 성장발판 마련과 양질의 일자리 창출을 지원하는 동반자금융 실현을 위해 더욱 노력하겠다'고 말했다.,2017-08-16 09:29:00,https://moneys.mt.co.kr/news/mwView.php?no=2017081609238046085,머니S,경제
8,'이 상황에 수백명 모이는 주총해야 할까'…주총시즌 기업들 '골머리',"'코로나19 때문에 여러 명이 모이는 것도 걱정인데 만에 하나 주주총회에서 확진자가 나오면 사옥을 폐쇄해야 하지 않습니까?'. . 국내 대기업 상장사들이 3월 주주총회 시즌을 앞두고 고민에 빠졌다. 코로나19(covid-19)가 창궐하는 이 시기에 주총을 강행하는 것도 부담스러운데 혹시나 사내에서 주총을 열었는데 확진자가 나오면 '직장 폐쇄'가 이뤄질 수 있어서다. . . 그렇다고 정관 변경이나 이사·감사 선임, 재무제표 승인 같은 중요 안건들을 주총 결의 없이 건너뛸 수도 없다. . . 이 때문에 주총 업무 담당 부서마다 주총 '개최장소'를 놓고 골머리를 앓고 있다. 다수 기업들은 주총 일정과 장소를 이미 발표하고도 제2의 장소, 심지어 제3의 후보지까지 물색한 것으로 알려졌다. 주총 직(이름) 주총 당일에 개최장소에서 확진자가 나올 경우 급하게 장소를 변경해야 하기 때문이다. . . lg전자와 lg디스플레이는 이런 (이름) 올해 주총 소집 결의 공시에서 이례적으로 '장소 변경' 가능성과 이에 대한 권한 위임을 명시했다. lg전자는 '코로나19 등 비상사태 발생 시 주총 일정과 장소 변경은 대표이사에게 위임한다'고 못 박았다. 만일의 사태에 대비해 일정 변경의 근거를 마련해 놓은 것이다. . . 상법상 주총 소집 시 2주 전에는 장소 등을 주주들에게 사전 통지해야 한다. 불가피한 사유가 있다고 법원이 인정하면 사전 통지한 주총 시간이나 장소를 바꿀 수 있지만 자칫 불법 소지가 높다. . . 노조의 주총장 봉쇄에 따른 주총 시간과 장소 변경은 가능하다는 대법원 판례가 있지만 코로나19 같은 재난사태 시 주총 일정과 장소를 변경해도 된다는 판례는 아직 없다.. . 재계 관계자는 '많은 기업들이 코로나19 때문에 주총 당일 대혼란을 겪을 수 있다'며 '감염병과 재난사태에 따른 주총 변경이 합법이냐는 법적 문제에 휘말릴까 걱정스럽다'고 밝혔다.. . 주총 장소를 섭외해 사전 통지까지 마쳤는데 갑자기 대관이 취소되는 사례도 적지 않다. 금호석유화학과 에스원은 당초 서울 중구 서울ymca에서 주총을 열 방침이었지만 서울ymca가 코로나19를 우려해 대관을 일방적으로 취소하며 애를 먹었다. 부랴부랴 다른 주총 장소를 잡았지만 이 과정이 만만치 않았다. . . 경기도 판교테크노밸리에서도 공공시설 주총 장소 금지 방침이 내려지며 기업들의 고민이 커졌다. 삼성중공업은 판교 글로벌r&d센터 1층 대강당에서 주총을 열려고 했지만 뒤늦게 '대관 불가' 통보를 받고 어쩔 수 없이 자사 사옥으로 장소를 옮겼다. . . 재계 관계자는 '상장사 대관을 취소 당해 주총 장소를 다시 알아보는 건 사상 처음 보는 일'이라며 '코로나19 감염 우려에도 불구하고 사옥을 주총 장소로 삼는 모험을 하는 기업들이 많다'고 말했다.. . 금융당국이 지난달 말 주총 관련 재무제표와 사업보고서 등의 제출 기한을 늦춰주는 '(이름)총 안전 개최 지원 방안'을 내놓았지만 빛 좋은 개살구라는 평이다. 이런 혜택을 받으려면 까다로운 조건들을 충족해야 하기 때문이다. . . 기업들은 주총장에 열화상 카메라를 설치해 참석자들의 체온을 일일이 확인하고, 마스크 착용을 의무화할 방침이지만 감염 가능성을 완벽히 차단하기엔 역부족이라는 지적이다. 전자투표제와 의결권 대리행사제도 활용도 방법이지만 전자투표제를 도입한 곳은 전체 상장사(2354개사) 중 63.1%(1486개사)에 그친다. . . 일부 기업은 주주들의 주총 참여가 극히 적을 수 있다는 점도 걱정이다. 전체 코스닥 상장사의 41.9%인 544곳이 올해 주총에서 감사와 감사위원을 새로 뽑아야 하는데 코로나19 탓에 의결정족수를 채울 수 있을지 벌써부터 고민하고 있다.",2020-03-04 05:30:00,https://news.mt.co.kr/mtview.php?no=2020030314572779793,머니투데이뉴스,산업
9,"[n화보] 선미, 긴 다리 매력 살린 파격 포즈 '강렬'","(서울=뉴스1) (이름) 기자 = 가수 선미가 긴 다리의 매력을 보여줬다. 선미가 마리끌레르 4월호를 통해 자유로우면서도 파격적인 화보를 선보였다.공개된 화보 속 선미는 카리스마 넘치는 눈빛과 섬세한 포즈를 선보였다. 선미는 얽매이지 않은 자유로운 포즈와 놀랍도록 독창적인 표정 연출로 다양한 아이템들을 선미만의 방식으로 완벽하게 소화해냈다.특히 선미는 전날 새벽까지 (이름) 광고 촬영으로 피곤이 쌓였음에도 카메라 플래시가 터질 때마다 언제 그랬냐는 듯 촬영장을 압도하는 놀라운 표현력과 에너지로 스태프들의 찬사를 받았다는 후문이다.지난달 23일 신곡 ‘꼬리(tail)’를 발매한 선미는 영화 속 캣우먼으로 변신해 파격적인 퍼포먼스를 선보이며 활발한 활동을 펼쳤다. 신곡 ‘꼬리 (tail)’는 섬세하면서도 민첩한 고양이의 특성들을 적극적이고, 본능적이며 당당한 여성의 사랑에 빗대어 풀어낸 곡으로 직관적인 퍼포먼스로 화제를 모았다.선미는 ‘가시나’ ‘주인공’ ‘사이렌’으로 이뤄진 3부작 연속 흥행에 성공하며 독보적인 음악성을 갖춘 아티스트로 꾸준한 활동을 이어오고 있다. 독보적인 무대 퍼포먼스와 장악력, 차별화된 콘셉트로 대중의 마음을 사로잡은 선미는 자신만의 아이덴티티를 확고하게 담은 ‘선미팝’으로 많은 사랑을 받고 있다.<저작권자 © 뉴스1코리아, 무단전재 및 재배포 금지>",2021-03-26 09:51:43,https://www.news1.kr/articles/?4253962,뉴스1,문화
