,title,content,write_date,url,writer,category
0,"업텐션 '6주년, 허니텐 있기에 가능..'spin off' 청량+섹시 공존'",". 아이돌그룹 업텐션이 컴백 신곡 ';spin off';로 청량함과 섹시함이 공존하는 매력을 담아냈다고 말했다.. . 업텐션은 14일 오후 3시 컴백 (이름) 쇼케이스를 열었다. . . 업텐션은 ';spin off';에 대해 ""이번 무더위를 싹 가실 수 있다는 의미를 담은 청량한 느낌의 곡""이라며 ""청량함과 섹시함이 공존하는 곡이라고 생각하고 저희에 맞는 옷을 찾지 않았나 생각한다""라고 말했다.. . 이날 업텐션은 ""저희가 지금 6주년을 향해 가고 있는데 이번 앨범을 통해 서로 더 끈끈해진 것 같다는 생각이 들었다""라고 말했다. 이어 ""업텐션을 빛나게 만들어주는 존재는 팬덤 허니텐이 아닐까 싶다. 허니텐이 있기에 업텐션이 있고, 허니텐에게 더 좋은 모습을 보여드리기 위해 열심히 하는 것 같다""라고 말했다. . . 업텐션은 이날 오후 6시 주요 (이름) 음원 사이트를 통해 2번째 앨범 ';connection';을 발매한다.. . ';connection';은 업텐션이 지난 2020년 발매한 9번째 미니앨범 ';light up';의 스핀오프 이야기를 담은 앨범. ';silhouette';과 ';illuminate'; 2가지 버전에 다채로운 업텐션 멤버들의 매력을 담아냈다. 또한, ';light';에 이어 히트곡 메이커 (이름)과 협업한 타이틀 곡 ';spin off';로 활동을 예고했다.. . 앨범에는 ';spin off'; 외에도 ';liar';부터 ';honey cake'; 등 총 9곡이 들어있으며 쿤과 비토가 ';spin off';, ';liar';, ';summer drive';, ';parade';, ';destroyed';, ';believe in you'; 등 대부분의 곡 작사에 참여해 음악적 역량을 아낌없이 발휘했다. 특히 샤오는 ';destroyed';과 ';honey cake'; 작곡과 작사, 고결은 ';sky line'; 작곡과 작사를 맡아 데뷔 후 처음 자작곡을 앨범에 실었다..",2021-06-14 15:17:56,https://star.mt.co.kr/stview.php?no=2021061412223666020,스타뉴스,연예
1,일본 '포스트 아베' 유력주자 '미군 전술핵 배치 논의해야' 파장,"【서울=뉴시스】(이름) 기자 = 일본 '포스트 아베'의 유력주자 중 하나인 이시바 시게루(石破茂) 전 자민당 간사장이 6번째 핵실험을 감행한 북한의 위협에 대비해 일본에 미군 전술핵을 배치하는 문제를 본격적으로 논의해야 한다고 주장해 논란을 빚고 있다.6일 산케이 신문에 따르면 이시바 전 간사장은 이날 tv 아사히 프로그램에 출연해 북한의 핵실험 실시에 맞서 미일동맹의 억지력 향상을 위해선 일본 국내에 미국 핵무기 배치 문제를 따져볼 때가 됐다고 밝혔다.이시바 전 간사장은 '미국의 핵으로 지켜달라고 말하면서 일본 국내에 (핵무기를)두지 않는다는 것은 논쟁 사안으로서 진정으로 옳은 것인가'고 반문했다.그는 일본의 비핵 3원칙을 염두에 두고 '(핵을) 보유하지 않고, 제조하지 않으며, 반입하지 않고, 논의조차 하지 않는다'는 일이 정말 가당치 않은 처사라고 강조했다. 이시바 전 간사장은 '핵 우산'와 재래식 전력을 포함한 종합적인 억지력으로 동맹국을 지킨다는 '확대 억지' 틀을 거론하면서 '반입하지 않는다는 것과 확대 억지력의 유지는 정면으로 모순되는 것'이라며 '그런 상황에 일본이 있다'고 지적했다.또한 이시바 전 간사장은 일본 핵무기 보유 등 핵무장론에 관해선 '유일한 전쟁 피폭국인 일본이 (핵무기를)가지면 세계 어느 나라든지 보유해도 좋다는 얘기가 된다'며 부정적인 입장을 표명했다.이시바 전 간사장은 미군 핵 배치에 대한 일본 국민의 반감을 이해할 수 있다면서 '감정적으로는 반입하지 않은 것이 좋다는 분위기'라고 분석했다.방위청 장관을 역임한 보수 강경 성향의 이시바 전 간사장 발언은 북한의 핵과 미사일 도발이 중대하고 급박한 위협으로 다가온 만큼 일본도 이에 대응하는 수단으로서 당장 미국 전술핵을 국내에 배치할 필요성을 역설한 것으로 국내외에 상당한 파장을 부를 전망이다. yjjs@(이메일)<저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>",2017-09-06 15:44:38,https://newsis.com/view/?id=NISX20170906_0000088277,뉴시스,취미
2,"文대통령, 정무 (이름)·국정홍보 여현호 등 靑 비서관 6명 임명","【서울=뉴시스】(이름) 기자 = (이름) 대통령은 9일 정무비서관에 (이름) 전 아산시장을, 국정홍보비서관에 여현호 한겨레신문 선임기자를 각각 임명했다. 또 제2부속비서관에 (이름) 전 청와대 해외언론비서관, 춘추관장에 유송화 전 2부속비서관, 해외언론비서관 (이름) 전 삼일회계법인 변호사, 문화비서관 양현미 전 한국문화예술교육진흥원장을 임명했다. (이름) 청와대 대변인은 이날 서면 브리핑을 내고 이같은 사실을 밝혔다.내년 5월 21대 국회의원 선거 출마를 위해 청와대를 떠나는 비서관들이 생기면서 이러한 인선 방향이 결정됐다. 송인배 전 정무비서관, 권혁기 전 춘추관장, 남요원 전 문화비서관이 이번에 사의를 표명했다. 송 전 비서관 후임에는 (이름) 전 아산시장, 권 관장 후임으로 유송화 전 2부속비서관, 후임 2부속비서관 자리에는 (이름) 전 해외언론비서관, 후임 해외언론비서관 자리에는 (이름) 전 변호사가 연쇄 (이름)며 빈자리가 채워졌다. 남요원 전 문화비서관 자리에는 양현미 원장이 새로 임명됐다. 또 장기간 공석으로 남아있던 국정홍보비서관에도 여현호 한겨레신문 선임기자가 임명됐다. 남은 공석 비서관 자리는 의전비서관, 고용노동비서관, 과학기술보좌관이다. rediu@(이메일)<저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>",2019-01-09 18:00:21,https://newsis.com/view/?id=NISX20190109_0000525468,뉴시스,취미
3,"거래소, 현대상선 불성실공시법인 지정",【서울=뉴시스】(이름) 기자 = 한국거래소 유가증권시장본부는 29일 배임 혐의 발생의 지연 공시를 사유로 현대상선(011200)을 불성실공시법인으로 지정했다.공시위반제재금은 7000만원이다. suwu@(이메일)<저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>,2018-01-29 19:46:36,https://newsis.com/view/?id=NISX20180129_0000216586,뉴시스,라이프스타일
4,"[오늘의 주요 일정] 강원(11일, 목)","(강원=뉴스1) = ◇강원도-(이름) 도지사11:00 소부장기업 기술자립 지원 프로젝트 업무협약(스카이컨벤션)14:10 한강수계 발전용 댐 다목적 활용 선포식(춘천댐)-(이름) 행정부지사10:00 제1차 예산결산특별위원회(의회 본회의장)◇강원도교육청-민병희 교육감16:30 2020 학교운영위원회 활성화 유공자 표창(2층 소회의실)◇춘천시-이재수 시장08:50 국소장회의(중회의실)15:00 미술창작스튜디오 현장방문(고탄리)16:00 인형극장 수탁기념행사(인형극장)◇강릉시-김한근 시장11:00 스타기업 인증서 수여식(춘천 스카이컨벤션웨딩홀)◇삼척시-김양호 시장14:00 향토장학금 기탁식 참석(집무실)17:30 국방과학연구소 관계자 간담회(집무실)◇속초시-(이름) 시장11:00 속초신협 본점 신사옥 준공기념식(속초신협)◇영월군-(이름) 군수15:00 청소년 참여위원회 위촉장 전달(상황실)16:00 영월 레포츠협회 및 바이크협회 성금 기탁(집무실)◇평창군-한왕기 군수10:00 제257회 정례회 제2차 본회의(의회 본회의장)◇정선군-(이름) 군수09:00 화성시 se그린에너지 수소연료전지사업 현장 견학◇양양군-(이름) 군수14:00 군도 4호선 확포장 공사 현장 점검◇고성군-함명준 군수11:00 지혜 안전(주) 성금 기탁15:30 죽왕 도넛팜 농장 방문16:00 주요사업장 점검◇인제군-최상기 군수13:30 농업인대학 입학식(농업기술센터 교육장)<저작권자 © 뉴스1코리아, 무단전재 및 재배포 금지>",2020-06-11 05:00:00,https://www.news1.kr/articles/?3961722,뉴스1,사건사고
5,"(이름) 부회장 오늘 1심 선고···삼성, 긴장감 '팽팽'","【서울=뉴시스】(이름) 기자 = 검찰로부터 뇌물공여 등의 혐의로 12년을 구형받은 (이름) 삼성전자 부회장에 대한 1심 선고가 25일 내려진다. 삼성은 초긴장 속에 상황을 예의주시하고 있는 분위기다. 이 부회장에 대한 1심 선고는 25일 오후 2시30분 서울중앙지법에서 열린다. 김진동 판사는 형사합의 27부 재판장으로서 이 부회장의 혐의를 두고 유·무죄 여부와 형량을 판결할 예정이다. 앞서 (이름) 특별검사팀은 지난 7일 (이름) 전 대통령과 최순실씨에게 433억원의 뇌물을 공여한 혐의 등을 받고 있는 이 부회장에게 징역 12년형을 구형했다. 이와 함께 (이름) 전 삼성전자 전무(55)에게는 징역 7년, (이름) 전 삼성전자 대외협력담당 사장(64)과 장충기 전 삼성 미래전략실 차장(63·사장), (이름) 전 삼성 미전실 실장(66·부회장)에게는 각각 징역 10년씩을 구형했다. 지난 3월9일 첫 재판이 열린 뒤 약 5개월 동안 50여 차례 공방 끝에 1심의 종착역에 다다른 것이다. 글로벌 무대에서 막대한 영향력을 발휘하고 있는 삼성의 총수에 대한 사안으로 재계 안팎의 큰 관심이 쏠려 있다. 이에 따라 삼성은 1심 선고에서 이 부회장이 석방이 된다면 경영차질을 최소할 수 있는 계기가 될 수 있지만 실형을 선고받을 경우 국내외 경영은 큰 타격을 받을 것으로 예상해 긴장을 늦추지 못하고 있다. 재계 안팎에서는 이날 1심 선고 결과와 관계없이 원고나 피고 측 모두 항소할 것으로 예상하며 내년까지 법정다툼이 지속될 것으로 전망한다. 재판이 길어질 경우 기업 경영에 상당한 차질이 빚어질 수 있다는 전망이 지배적이라 삼성은 이날 법원의 결정에 따라 추후 상황에 다각적인 대응을 해야할 것으로 보인다. 재계에서는 총수가 복귀할 때까지 삼성의 대규모 투자 계획 등이 계속 미뤄질 것을 판단하고 있다. 기존 사업에 대한 경쟁력 강화방안 등을 추진하면서 소규모 투자는 진행하되 대규모 투자는 이 부회장이 업무에 복귀할 때까지 뒤로 미뤄둘 수 있다는 관측이다. 재계 관계자는 '오늘 선고 결과에 따라 이후 삼성의 경영 (이름) 여부가 좌우될 것'이라며 '이 부회장이 좋은 결과를 얻기를 기대하고 있다'고 전했다. whymot82@(이메일)<저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>",2017-08-25 06:10:04,https://newsis.com/view/?id=NISX20170824_0000076680,뉴시스,라이프스타일
6,고용부 산하 기관서 올해만 성희롱 사건 6건,"【서울=뉴시스】(이름) 기자 = 올해 고용노동부 산하 기관에서 6건의 성 관련 사건이 발생한 것으로 나타났다. 자유한국당 (이름) 의원이 15일 환경노동위원회의 고용부 산하 기관 국정감사에서 공개한 자료에 따르면 올해(징계일 기준) 근로복지공단 2건, 안전보건공단 1건, 폴리텍대학 1건, 한국기술교육대 1건, 노사발전재단 1건 등 총 6건의 성희롱·성추행 사건이 일어났다. 근로복지공단의 경우 올해 2월에 a 과장이 4차례에 걸쳐 다수의 여성들에게 어깨동무, 허벅지, 팔 등을 쓰다듬는 행위를 하고, 볼을 꼬집고 허리를 감싸는 행위를 한 사실이 확인돼 해임됐다. 한국기술교육대학교에서도 b씨가 2015년부터 지속적으로 피해자에게 (이름)계 횟수를 묻거나 외모 품평을 하는 등 성적 수치심을 준 사실이 드러나 해임됐다.한국폴리텍대학에서는 올해 3월 c교수가 강의 도중 물의를 일으킨 연예인을 언급하면서 '정씨 관련 동영상을 공유한다면 영웅이 될 것'이라고 성희롱 발언을 했다가 정직 1개월 징계 처분을 받았다. (이름) 의원은 '올해도 고용부 산하 기관에서 비위 문제가 반복해서 발생하고 있다'며 '공정채용과 성희롱 예방 주무부처인 고용부 산하 기관들이 선도적인 모습을 보여줘야 한다'고 지적했다.kangse@(이메일)",2019-10-15 18:27:27,https://newsis.com/view/?id=NISX20191015_0000799804,뉴시스,여행레저
7,"방탄소년단, 아이돌차트 1위 탈환..2위 블랙핑크·3위 워너원",". . 그룹 방탄소년단(bst)이 아이돌차트 아차랭킹 주간차트 1위를 다시 거머쥐었다.. . 방탄소년단은 13일 발표된 아이돌차트 7월 1주차 아차랭킹에서 음원점수 2017점, 앨범점수 179점, sns점수 1443점 등 총점 3639점을 획득해 1위 자리를 탈환했다.. . 2위는 지난 주 1위였던 블랙핑크(총점 3336)가 차지했다. 아쉽게 한 계단 내려왔지만 높은 음원점수를 앞세워 상위권 수성에 성공했다.. . 또 7월 1주차 아차랭킹에는 워너원(총점 2375점), 샤이니(총점 2152점), 뉴이스트w(총점 1988점), 모모랜드(총점 1660점), 멜로망스(1616점), 에이핑크(1563점), 트와이스(1497점), 비투비(1345점)가 상위권에 이름을 올렸다.. . . . 특히, 에이핑크는 지난 2일 타이틀곡 '1도 없어'로 컴백해 단번에 8위에 올라 인기 걸그룹의 저력을 보였다.. . 한편 아이돌차트의 아차랭킹은 음원과 음반, 방송, sns, 전문가심사 등을 조합해 가수 자체의 인기 지표를 측정하는 차트다.",2018-07-13 12:31:29,https://star.mt.co.kr/stview.php?no=2018071312291572245,스타뉴스,연예
8,"(이름), 연일 (이름) 비판…'도덕성 만점? 文대통령도 못받았는데'",(이름) 더불어민주당 당대표 후보가 연일 (이름) 경기지사를 비판하고 나섰다. 지난달 29일 '이젠 결단을 해야 한다'며 사실상 이 지사의 탈당을 요구한 데 이어 31일에도 도덕성 부분을 언급하며 비판 수위를 높였다.. . 김 후보는 이날 오후 서울 중구 sk오픈콜라보센터에서 스타트업 기업인들과의 간담회 후 기자들과 만나 '지난 지방선거 과정에서 당이 당시 (이름) 경기지사 후보에게 도덕성 부분에 만점을 줬다는 이야기를 들었다'며 '(이름) 대통령에게도 주지 않은 만점을 당이 이 후보에게 준 것은 뭔가 있는 게 아니냐는 문제제기가 권리당원들 사이에서 계속 제기됐다'고 주장했다.. . 그는 '하루에도 10명 (이름) 권리당원들로부터 이 지사를 둘러싼 논란에 대한 입장 표명을 요구받았다'며 발언 배경을 설명했다. 그러면서 '지금 (이 지사는) 의혹을 풀지 못하고 법정싸움을 하자는 건데 그렇게 해결되는데 4~5년이 걸린다'며 '그동안 우리가 치러야 할 선거에서 당의 도덕성이 훼손되고 대의민주주의는 어떻게 할 것이냐'고 말했다.. . 당 대표에 당선된 이후에도 이 지사의 탈당이 이뤄지지 않을 경우를 묻자 '지금은 이 지사가 판단할 문제'라며 '적극 해명해 의혹을 풀어버리면 좋은데 지금은 그냥 '음해다' 이것밖에 없다'고 주장했다.. . 또 어려운 경제상황에 따른 당 지지율 하락과 도덕성 문제로 인한 하락을 구분하기도 했다. 김 후보는 '경제는 문 대통령 입장에서 억울한 측면이 있다. 경제를 살리려고 애쓰고 있다'며 '그런데 도덕성으로 비판받으면 할 말이 없다'고 말했다. .,2018-07-31 15:11:56,https://news.mt.co.kr/mtview.php?no=2018073114367638426,머니투데이뉴스,정치
9,"tv에서 본 맛집, 114에 물어보세요","【대전=뉴시스】(이름) 기자 = kt cs와 kt is는 번호안내 '114'를 통해 tv 프로그램에 소개된 맛집 정보를 제공한다고 7일 밝혔다.. . 이를 위해 양 기관은 백종원의 3대천왕, 수요미식회, 식(이름)대, tv생생정보, 6시 내고향 등 40여개 인기 먹방 tv프로그램에 등장한 맛집 7265개 상호와 전화번호 db를 구축했다.. . 고객들은 114에 전화해 해당 프로그램과 방송날짜를 문의하면 맛집 상호와 전화번호를 신속하게 안내 받을 수 있다.. . 114는 고객들의 편의를 위해 방송 직후 맛집 전화번호 db를 수시로 업데이트할 방침이다. 특히 방송에서 정확한 상호가 노출되지 않는 데 따른 고객불편을 해소하기 위해 방송국에 직접 해당 맛집을 확인하거나 빅데이터앱 콕콕114의 키워드 검색을 통해 전화번호 db를 구축하고 있다. . . 이와 함께 114는 20년 (이름) 역사를 가진 맛집, 한국관광공사 및 포털사이트 블로그를 통해 제공되는 맛집 db도 구축해 정기적으로 업데이트 진행, 고객들의 수요에 대응하고 있다.. . kt cs (이름) 114플랫폼사업본부장은 '114는 단순 전화번호 안내를 넘어 국가주요행사 등 맞춤형 전화번호 db를 구축해 신속히 업데이트하고 있다'며 '앞으로도 고객들의 원하는 다양한 정보서비스를 제공할 수 있도록 힘쓰겠다'고 말했다.. . kys0505@(이메일) . . <저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>copyright ⓒ (이메일), 무단 전재 및 재배포 금지",2016-07-07 15:08:41,https://newsis.com/view/?id=NISX20160707_0014203946,뉴시스,지역
